SEQID,ID,Enterococcus mundtii DSM 4838,Enterobacter mori DSM 26271,Staphylococcus epidermidis AU 24,Escherichia coli DSM 498,Pseudomonas putida DSM 6125,Actinetobacter baylyi DSM 14961,Enterococcus faecium DSM 20477,Staphylococcus aureus DSM 20231,Klebsiella oxytoca DSM 5175,Actinetobacter baumannii DSM 300007,Pseudomonas aeruginosa DSM 19880,Enterobacter cloacae DSM 30054
PAQ87969.barcode60,HJØR2023-Gr1-AC-16,111,000,111,000,000,111,111,000,000,000,000,000
PAQ87969.barcode61,HJØR2023-Gr1-AC-17,111,000,111,000,000,111,111,000,000,000,111,000
PAQ87969.barcode63,VIBO2023-Gr3-AC-9,111,000,000,000,000,000,111,000,000,000,000,000
PAQ87969.barcode64,VIBO2023-Gr3-AC-20,111,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode66,FJER2023-Gr1-AC-23,111,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode67,GRE2020-Gr2-AC-17,111,111,110,110,111,111,111,110,100,110,111,000
PAQ87969.barcode70,MARS2BK2022-Gr8-AC-17,111,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode72,VIBO2023-Gr6-AC-1,111,000,111,000,000,000,000,000,000,000,000,000
PAQ87969.barcode78,GLHE2023-Gr5-BHI-3,111,000,111,000,000,111,111,111,000,111,000,000
PAQ87969.barcode83,VHG2023-Gr7-ISP2-19,111,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode84,MAR2020-CLARA-ISP2-2,111,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode85,VIBO2023-Gr4-ISP2-16,111,000,111,100,000,110,000,111,000,000,000,000
PAQ87969.barcode86,MAR2020-SAED-ISP2-23,111,000,111,000,000,000,000,000,000,000,000,000
PAQ87969.barcode87,SILK2023-Gr14-ISP2-18,111,111,000,000,111,000,000,000,000,000,111,000
PAQ87969.barcode88,AKAT2023-Gr7-ISP2-14,111,000,111,000,000,000,111,000,000,000,111,000
PAQ87969.barcode89,BJE2020-SMH-ISP2-17,111,000,111,000,000,000,111,000,000,000,000,000
PAQ87969.barcode90,PAD2021-Gr5-ISP2-6,111,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode91,CELF2021-Gr2-ISP2-8,111,000,111,000,000,000,111,000,000,000,000,000
PAQ87969.barcode92,VHG2023-Gr2-ISP2-18,111,111,111,000,000,000,111,111,000,000,000,111
PAQ87969.barcode93,SILK2023-Gr14-ISP2-14,111,111,000,000,111,000,000,000,000,000,000,111
PAQ87969.barcode95,MIDD2022-Gr7-ISP2-4,111,111,000,111,111,000,000,000,000,000,111,111
PAQ87969.barcode33,VIBO2023-Gr3-10%NB-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode08,SILK2023-Gr7-AC-18,000,000,000,000,000,000,000,000,000,000,000,000
PAQ88969.barcode63,VIBO2023-Gr6-AC-17,000,000,000,000,000,000,000,000,000,000,000,000
PAQ88969.barcode71,VIBO2023-Gr2-AC-8,000,000,000,000,000,000,000,000,000,000,000,000
PAQ88969.barcode79,VIBO2023-Gr7-AC-13,000,000,000,000,000,000,000,000,000,000,000,000
PAQ88969.barcode84,EGAA2023-Gr1-PDA-14,000,000,000,000,000,000,000,111,000,000,000,000
PAQ88969.barcode03,PAD2021-Gr6-10%NB-2,000,000,111,111,111,111,000,000,111,111,111,111
PAQ88969.barcode07,SILK2023-Gr5-AC-15,000,000,111,000,000,000,111,000,000,000,000,000
PAQ88969.barcode20,MAR2021-Gr2-AC-32,000,000,000,000,000,000,100,000,100,110,000,000
PAQ88969.barcode31,MARS2023-Gr1-AC-8,000,000,000,111,000,000,000,000,000,000,000,000
PAQ88969.barcode35,AKAT2020-Gr5-10%NB-22,000,000,111,000,000,000,000,000,000,000,000,000
PAQ88969.barcode60,AAGV2022-Gr6-PDA-30,000,000,100,000,000,000,000,000,000,000,000,000
PAQ88969.barcode68,CELF2021-Gr4-PDA-19,000,000,111,000,000,000,000,111,000,000,000,000
PAQ88969.barcode70,SILK2023-Gr9-AC-7,000,110,001,100,000,111,000,111,110,111,111,000
PAQ88969.barcode76,HJØREUC2023-Gr1-PDA-2,000,000,000,000,000,000,000,111,000,000,000,000
PAQ88969.barcode78,SILK2023-Gr10-AC-14,000,000,000,000,000,000,111,000,000,000,000,000
PAQ88969.barcode80,HJØR2023-Gr6-AC-1,000,000,000,100,000,110,000,110,000,000,000,000
PAQ88969.barcode83,MARSAnne2022-Gr7-AC-15,000,001,011,011,000,011,111,011,111,111,111,000
PAQ88969.barcode59,HJØR2022-Gr5-AC-6,100,000,000,000,000,000,000,000,000,000,000,000
PAQ88969.barcode28,RØD2022-Gr7-AC-14,011,011,111,111,000,011,111,111,000,111,111,000
PAQ88969.barcode32,HJØR2023-Gr3-AC-16,110,000,000,000,000,011,110,000,110,000,100,000
PAQ88969.barcode54,SILK2023-Gr13-AC-11,110,000,000,000,000,000,000,000,000,000,000,000
PAQ88969.barcode67,MARS2BK2022-Gr3-AC-16,110,000,111,000,011,111,111,110,011,111,000,111
PAQ88969.barcode04,MIDD2022-Gr17-AC-5,111,100,110,000,000,100,111,000,000,000,000,000
PAQ88969.barcode11,ASG2021-Gr3-10%NB-7,111,000,110,000,000,000,000,000,000,000,000,000
PAQ88969.barcode12,MIDD2022-Gr17-AC-2,111,000,011,000,000,011,111,000,111,111,000,111
PAQ88969.barcode13,AAST2022-Gr1-PDA-7,111,000,100,000,000,000,111,000,000,000,000,000
PAQ88969.barcode16,SILK2023-Gr8-AC-10,111,000,111,000,111,111,111,111,000,111,000,000
PAQ88969.barcode24,SILK2023-Gr15-AC-14,111,111,111,111,111,111,111,111,111,111,111,111
PAQ88969.barcode27,MAR2020-SAED-10%NB-22,111,000,111,111,000,000,111,111,000,111,000,111
PAQ88969.barcode36,CELF2021-Gr2-ISP2-2,111,000,111,000,000,111,111,000,000,111,000,000
PAQ88969.barcode38,SILK2023-Gr15-AC-13,111,000,111,100,000,110,111,000,000,000,100,000
PAQ88969.barcode39,VIBO2023-Gr14-AC-15,111,000,111,000,000,000,111,000,000,000,000,000
PAQ88969.barcode40,HJØR2023-Gr3-AC-18,111,011,111,000,110,011,000,111,111,110,000,000
PAQ88969.barcode43,MUNK2022-Gr13-10%NB-16,111,000,111,000,000,000,111,111,000,000,000,000
PAQ88969.barcode44,CELF2021-Gr4-PDA-4,111,000,111,000,000,000,111,111,000,000,000,000
PAQ88969.barcode46,SILK2023-Gr13-AC-9,111,110,000,001,000,110,111,111,111,111,111,111
PAQ88969.barcode47,VIBO2023-Gr14-AC-11,111,000,111,000,000,111,111,000,000,000,000,000
PAQ88969.barcode48,HJØR2023-Gr1-AC-5,111,100,110,000,000,000,111,110,000,000,000,000
PAQ88969.barcode51,SKAND3z2021-Gr3-10%NB-16,111,000,111,000,000,000,111,111,000,000,000,000
PAQ88969.barcode52,AAST2022-Gr1-PDA-7,111,000,100,000,000,000,111,000,000,000,000,000
PAQ88969.barcode55,VIBO2023-Gr13-AC-19,111,000,111,000,111,111,111,111,000,111,000,000
PAQ88969.barcode56,HJØR2023-Gr4-AC-15,111,000,000,000,000,000,000,000,000,000,000,000
PAQ88969.barcode62,SILK2023-Gr11-AC-14,111,000,111,000,000,000,111,000,000,000,000,000
PAQ88969.barcode64,HJØR2023-Gr4-AC-17,111,000,111,000,000,000,111,000,000,000,000,000
PAQ88969.barcode72,HJØR2023-Gr5-AC-8,111,000,000,000,100,110,111,000,000,000,000,000
PAQ88969.barcode74,HJØR2022-Gr11-ISP2-8,111,000,000,000,100,100,111,000,000,000,000,000
PAQ88969.barcode75,CELF2021-Gr3-AC-8,111,111,111,110,111,000,101,011,011,110,000,011
PAQ88969.barcode82,BJE2020-Gr1-10%NB-6,111,000,111,000,000,000,111,000,000,000,000,000
PAQ88969.barcode86,SILK2023-Gr8-AC-11,111,000,111,000,111,111,111,000,000,111,000,000
PAQ88969.barcode87,SILK2023-Gr18-AC-20,111,111,111,111,111,111,111,111,111,111,111,111
PAQ88969.barcode90,BJE2020-Gr1-10%NB-7,111,000,111,000,000,111,111,000,000,000,000,000
PAQ88969.barcode92,AAST2022-Gr7-PDA-2,111,000,111,000,111,111,111,111,111,000,000,000
PAQ88969.barcode94,SILK2023-Gr8-AC-17,111,111,111,111,111,111,111,111,111,111,111,111
PAQ88969.barcode95,SILK2023-Gr15-AC-16,111,000,111,111,000,111,000,110,100,111,000,111
PAQ88969.barcode96,CELF2021-Gr4-PDA-4,111,000,111,000,000,000,111,111,000,000,000,000
PAQ88969.barcode05,MKM2023-1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode06,AKAT2023-Gr3-AC-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode14,AKAT2023-Gr1-AC-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode15,SILK2023-Gr6-AC-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode19,VIBO2023-Gr3-10%NB-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode21,MKM2023-1.5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode22,AKAT2023-Gr1-AC-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode23,GG2023-Gr2-AC-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode29,MKM2023-1.5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode30,MARS2023-Gr12-AC-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode37,MKM2023-1.5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode45,MKM2023-1.5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode53,MKM2023-1.5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode61,MARS2023-Gr1-AC-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode69,GLHE2023-Gr8-AC-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode77,MARS2023-Gr11-AC-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
