SEQID,ID,FCID,School,Date of collection,Bioactive (0/1),Enterococcus mundtii DSM 4838,Enterobacter mori DSM 26271,Staphylococcus epidermidis AU 24,Escherichia coli DSM 498,Pseudomonas putida DSM 6125,Actinetobacter baylyi DSM 14961,Enterococcus faecium DSM 20477,Staphylococcus aureus DSM 20231,Klebsiella oxytoca DSM 5175,Actinetobacter baumannii DSM 300007,Pseudomonas aeruginosa DSM 19880,Enterobacter cloacae DSM 30054
PAQ87969.barcode52,MARS2023-Gr1-AC-4,PAQ87969,Marselisborg Gymnasium,2023-01-19T00:00:00Z,0,000,000,000,000,000,000,000,000,000,000,000,000
PAQ87969.barcode53,HJØR2023-Gr2-AC-17,PAQ87969,Hjørring HTX,2023-03-14T00:00:00Z,1,111,000,111,000,111,111,111,000,111,111,000,000
PAQ87969.barcode54,MARS2023-Gr4-AC-3,PAQ87969,Marselisborg Gymnasium,2023-01-19T00:00:00Z,1,111,000,111,000,000,111,110,111,000,000,000,000
PAQ87969.barcode55,STG2023-Gr2-AC-2,PAQ87969,Støvring Gymnasium,2023-01-11T00:00:00Z,1,000,111,000,111,111,111,000,000,111,111,111,111
PAQ87969.barcode56,STG2023-Gr2-AC-16,PAQ87969,Støvring Gymnasium,2023-01-11T00:00:00Z,1,000,000,111,000,000,000,000,000,000,000,000,000
PAQ87969.barcode57,STG2023-Gr2-AC-15,PAQ87969,Støvring Gymnasium,2023-01-11T00:00:00Z,1,100,000,111,000,000,000,110,000,000,000,000,000
PAQ87969.barcode58,HJØR2023-Gr1-AC-18,PAQ87969,Hjørring HTX,2023-03-14T00:00:00Z,1,111,000,111,000,000,111,111,000,000,000,000,000
PAQ87969.barcode59,STG2023-Gr2-AC-4,PAQ87969,Støvring Gymnasium,2023-01-11T00:00:00Z,1,000,111,111,000,000,111,111,111,111,000,000,000
PAQ87969.barcode60,HJØR2023-Gr1-AC-16,PAQ87969,Hjørring HTX,2023-03-14T00:00:00Z,1,111,000,111,000,000,111,111,000,000,000,000,000
PAQ87969.barcode61,HJØR2023-Gr1-AC-17,PAQ87969,Hjørring HTX,2023-03-14T00:00:00Z,1,111,000,111,000,000,111,111,000,000,000,111,000
PAQ87969.barcode62,MARS2023-Gr3-AC-5,PAQ87969,Marselisborg Gymnasium,2023-01-19T00:00:00Z,1,000,100,110,000,000,110,100,000,000,111,111,000
PAQ87969.barcode63,VIBO2023-Gr3-AC-9,PAQ87969,Viborg Gymnasium,2023-08-17T00:00:00Z,1,111,000,000,000,000,000,111,000,000,000,000,000
PAQ87969.barcode64,VIBO2023-Gr3-AC-20,PAQ87969,Viborg Gymnasium,2023-08-17T00:00:00Z,1,111,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode65,VIBO2023-Gr6-AC-16,PAQ87969,Viborg Gymnasium,2023-08-17T00:00:00Z,1,000,000,111,000,000,000,000,000,000,000,000,000
PAQ87969.barcode66,FJER2023-Gr1-AC-23,PAQ87969,Fjerritslev Gymnasium,2023-03-23T00:00:00Z,1,111,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode67,GRE2020-Gr2-AC-17,PAQ87969,Grenaa Gymnasium,2020-11-26T00:00:00Z,1,111,111,110,110,111,111,111,110,100,110,111,000
PAQ87969.barcode68,MAR2020-JAR-AC-4,PAQ87969,Marselisborg Gymnasium,2020-10-19T00:00:00Z,0,000,000,000,000,000,000,000,000,000,000,000,000
PAQ87969.barcode69,VIBO2023-Gr11-AC-7,PAQ87969,Viborg Gymnasium,2023-08-17T00:00:00Z,1,000,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode70,MARS2BK2022-Gr8-AC-17,PAQ87969,"Marselisborg Gymnasium, 2BK",2022-09-13T00:00:00Z,1,111,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode71,HJØR2022-Gr7-AC-10,PAQ87969,Hjørring Gymnasium,2022-11-07T00:00:00Z,1,110,110,000,000,000,100,111,000,000,111,000,000
PAQ87969.barcode72,VIBO2023-Gr6-AC-1,PAQ87969,Viborg Gymnasium,2023-08-17T00:00:00Z,1,111,000,111,000,000,000,000,000,000,000,000,000
PAQ87969.barcode73,SØN2021-Gr2-BHI-4,PAQ87969,Sønderborg Statsskole,2021-11-19T00:00:00Z,0,110,000,000,000,000,000,111,000,000,000,000,000
PAQ87969.barcode74,AAST2022-Gr1-BHI-8,PAQ87969,Aarhus Statsgymnasium,2022-08-25T00:00:00Z,1,000,000,000,000,000,111,000,000,000,000,000,000
PAQ87969.barcode75,SKIVE2022-Gr6-BHI-18,PAQ87969,Skive Gymnasium,2022-01-11T00:00:00Z,1,110,000,111,000,000,000,111,000,000,000,000,000
PAQ87969.barcode76,AKAT2023-Gr2-BHI-13,PAQ87969,Aarhus Katedralskole,2023-09-12T00:00:00Z,1,110,000,110,000,000,000,111,000,000,000,000,000
PAQ87969.barcode77,AKAT2023-Gr3-BHI-1,PAQ87969,Aarhus Katedralskole,2023-09-12T00:00:00Z,0,000,000,000,000,000,000,000,000,000,000,000,000
PAQ87969.barcode78,GLHE2023-Gr5-BHI-3,PAQ87969,Gammel Hellerup Gymnasium,2023-09-13T00:00:00Z,1,111,000,111,000,000,111,111,111,000,111,000,000
PAQ87969.barcode79,PAD2021-Gr5-ISP2-19,PAQ87969,Paderup Gymnasium,2021-04-13T00:00:00Z,1,000,000,000,111,000,000,000,000,000,000,000,000
PAQ87969.barcode80,PAD2021-Gr6-ISP2-16,PAQ87969,Paderup Gymnasium,2021-04-13T00:00:00Z,1,000,000,111,000,000,000,000,111,000,000,000,000
PAQ87969.barcode81,PAD2021-Gr5-ISP2-17,PAQ87969,Paderup Gymnasium,2021-04-13T00:00:00Z,0,000,000,000,000,000,000,000,000,000,000,000,000
PAQ87969.barcode82,PAD2021-Gr6-ISP2-18,PAQ87969,Paderup Gymnasium,2021-04-13T00:00:00Z,0,000,000,000,000,000,000,000,000,000,000,000,000
PAQ87969.barcode83,VHG2023-Gr7-ISP2-19,PAQ87969,Vesthimmerlands Gymnasium,2023-03-15T00:00:00Z,1,111,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode84,MAR2020-CLARA-ISP2-2,PAQ87969,Marselisborg Gymnasium,2020-10-19T00:00:00Z,1,111,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode85,VIBO2023-Gr4-ISP2-16,PAQ87969,Viborg Gymnasium,2023-08-17T00:00:00Z,1,111,000,111,100,000,110,000,111,000,000,000,000
PAQ87969.barcode86,MAR2020-SAED-ISP2-23,PAQ87969,Marselisborg Gymnasium,2020-10-19T00:00:00Z,1,111,000,111,000,000,000,000,000,000,000,000,000
PAQ87969.barcode87,SILK2023-Gr14-ISP2-18,PAQ87969,Silkeborg Gymnasium,2023-09-06T00:00:00Z,1,111,111,000,000,111,000,000,000,000,000,111,000
PAQ87969.barcode88,AKAT2023-Gr7-ISP2-14,PAQ87969,Aarhus Katedralskole,2023-09-12T00:00:00Z,1,111,000,111,000,000,000,111,000,000,000,111,000
PAQ87969.barcode89,BJE2020-SMH-ISP2-17,PAQ87969,Bjerringbro Gymnasium 3g,2020-11-02T00:00:00Z,1,111,000,111,000,000,000,111,000,000,000,000,000
PAQ87969.barcode90,PAD2021-Gr5-ISP2-6,PAQ87969,Paderup Gymnasium,2021-04-13T00:00:00Z,1,111,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode91,CELF2021-Gr2-ISP2-8,PAQ87969,CELF (Lolland-Falster),2021-09-14T00:00:00Z,1,111,000,111,000,000,000,111,000,000,000,000,000
PAQ87969.barcode92,VHG2023-Gr2-ISP2-18,PAQ87969,Vesthimmerlands Gymnasium,2023-03-15T00:00:00Z,1,111,111,111,000,000,000,111,111,000,000,000,111
